,CountryID,Country,League,Season,Club,ClubID,Squad,avgAge,Foreigners,avgMarketValue,totalMarketValue,Stadium,StadiumCap,Club_income,Club_expenditure,Club_OverallBalance,Coach,Club_victories,Players,Rank
148,40,Germany,Bundesliga,2015,VfB Stuttgart,79,34,24.8,19,€2.39m,€81.18m,Mercedes-Benz Arena,60.449 Seats,€20.55m,€15.67m,+€4.88m,Alexander Zorniger;Jürgen Kramny,Relegated from 1st league,Przemyslaw Tyton;Mitchell Langerak;Odysseas Vlachodimos;Benjamin Uphoff;Emiliano Insúa;Timo Baumgartl;Toni Sunjic;Federico Barba;Daniel Schwaab;Georg Niedermeier;Stephen Sama;Adam Hlousek;Philip Heise;Kevin Großkreutz;Florian Klein;Matthias Zimmermann;Geoffroy Serey Dié;Carlos Gruezo;Mart Ristl;Lukas Rupp;Christian Gentner;Marvin Wanitzek;Filip Kostic;Daniel Didavi;Alexandru Maxim;Kevin Stöger;Arianit Ferati;Robbie Kruse;Martin Harnik;Timo Werner;Artem Kravets;Daniel Ginczek;Jan Kliment;Boris Tashchy,17.0
149,40,Germany,Bundesliga,2015,Hertha BSC,44,34,25.3,15,€2.32m,€78.93m,Olympiastadion Berlin,74.667 Seats,€4.92m,€7.30m,€-2.38m,Pál Dárdai,,Rune Jarstein;Thomas Kraft;Marius Gersbeck;Sascha Burchert;Nils-Jonathan Körber;John Anthony Brooks;Fabian Lustenberger;Niklas Stark;Sebastian Langkamp;Shawn Kauter;Nico Beyer;Nico Schulz;Marvin Plattenhardt;Johannes van den Bergh;Maximilian Mittelstädt;Mitchell Weiser;Peter Pekarik;Yanni Regäsel;Tolga Cigerci;Vladimir Darida;Per Ciljan Skjelbred;Jens Hegeler;Florian Kohls;Genki Haraguchi;Änis Ben-Hatira;Alexander Baumjohann;Ronny;Salomon Kalou;Valentin Stocker;Sinan Kurt;Roy Beerens;Julian Schieber;Vedad Ibisevic;Sami Allagui,7.0
150,40,Germany,Bundesliga,2015,Eintracht Frankfurt,24,35,24.9,21,€2.19m,€76.60m,Deutsche Bank Park,51.500 Seats,€12.10m,€11.82m,+€280k,Niko Kovac;Armin Veh,,Lukas Hradecky;Heinz Lindner;Emil Balayev;Yannick Zummack;Carlos Zambrano;Kaan Ayhan;Marco Russ;David Abraham;Makoto Hasebe;Bamba Anderson;Bastian Oczipka;Constant Djakpa;Timothy Chandler;Yanni Regäsel;Aleksandar Ignjovski;Slobodan Medojevic;Nico Rinderknecht;Stefan Reinartz;Marc Stendera;Johannes Flum;David Kinsombi;Szabolcs Huszti;Marco Fabián;Mijat Gacinovic;Änis Ben-Hatira;Joel Gerezgiher;Takashi Inui;Sonny Kittel;Stefan Aigner;Alexander Meier;Luca Waldschmidt;Haris Seferovic;Luc Castaignos;Vaclav Kadlec;Enis Bunjaki,16.0
151,40,Germany,Bundesliga,2015,FC Augsburg,167,39,25.9,21,€1.94m,€75.83m,WWK ARENA,30.660 Seats,€26.90m,€16.70m,+€10.20m,Markus Weinzierl,,Marwin Hitz;Alexander Manninger;Ioannis Gelios;Yannik Oettl;Ragnar Klavan;Jeffrey Gouweleeuw;Jeong-ho Hong;Jan-Ingwer Callsen-Bracker;Christoph Janker;Max Reinthaler;Abdul-Rahman Baba;Philipp Max;Konstantinos Stafylidis;Arif Ekin;Paul Verhaegh;Daniel Opare;Raphael Framberger;Daniel Baier;Marco Schuster;Maik Uhde;Tim Rieder;Ja-cheol Koo;Dominik Kohr;Jan Moravek;Markus Feulner;Bastian Kurz;Halil Altintop;Piotr Trochowski;Erik Thommy;Tobias Werner;Caiuby;Alexander Esswein;Raúl Bobadilla;Alfred Finnbogason;Tim Matavz;Dong-won Ji;Albian Ajeti;Sascha Mölders;Shawn Parker,12.0
152,40,Germany,Bundesliga,2015,1.FC Köln,3,25,25.0,12,€2.75m,€68.63m,RheinEnergieSTADION,50.000 Seats,€13.05m,€14.78m,€-1.73m,Peter Stöger,,Timo Horn;Thomas Kessler;Daniel Mesenhöler;Dominique Heintz;Kevin Vogt;Frederik Sörensen;Dominic Maroh;Mergim Mavraj;Jonas Hector;Dusan Svento;Lukas Klünter;Matthias Lehmann;Yannick Gerhardt;Milos Jojic;Kazuki Nagasawa;Marcel Hartel;Pawel Olkowski;Filip Mladenovic;Leonardo Bittencourt;Marcel Risse;Anthony Modeste;Simon Zoller;Yuya Osako;Philipp Hosiner;Bard Finne,9.0
153,40,Germany,Bundesliga,2015,SV Werder Bremen,86,39,24.6,18,€1.66m,€64.68m,Wohninvest-Weserstadion,42.100 Seats,€19.45m,€12.88m,+€6.57m,Viktor Skrypnyk,,Felix Wiedwald;Raphael Wolf;Gerhard Tremmel;Michael Zetterer;Eric Oelschlägel;Jannik Vestergaard;Papy Djilobodji;Alejandro Gálvez;Santiago García;Assani Lukimya;Milos Veljkovic;Oliver Hüsing;Mateo Pavlovic;Ulisses Garcia;Janek Sternberg;Leon Guwara;Theodor Gebre Selassie;Clemens Fritz;Marnon Busch;Luca Zander;Florian Grillitsch;Philipp Bargfrede;Lukas Fröde;Zlatko Junuzovic;Levin Öztunali;Sambou Yatabaré;Felix Kroos;Maximilian Eggestein;Julian von Haacke;László Kleinheisler;Özkan Yildirim;Melvyn Lorenzen;Fin Bartels;Izet Hajrovic;Levent Aycicek;Marcel Hilßner;Anthony Ujah;Aron Jóhannsson;Claudio Pizarro,13.0
154,40,Germany,Bundesliga,2015,Hamburger SV,41,35,25.8,18,€1.81m,€63.20m,Volksparkstadion,57.000 Seats,€13.20m,€21.85m,€-8.65m,Bruno Labbadia,,René Adler;Jaroslav Drobny;Tom Mickel;Andreas Hirzel;Tino Dehmelt;Johan Djourou;Cléber Reis;Gideon Jung;Emir Spahic;Kerim Carolus;Matthias Ostrzolek;Gotoku Sakai;Dennis Diekmeier;Albin Ekdal;Marcelo Díaz;Gojko Kacar;Dren Feka;Lewis Holtby;Kerem Demirbay;Aaron Hunt;Nicolai Müller;Zoltán Stieber;Ahmet Arslan;Finn Porath;Ivo Ilicevic;Nabil Bahoui;Ashton Götz;Philipp Müller;Josip Drmic;Pierre-Michel Lasogga;Michael Gregoritsch;Sven Schipplock;Artjoms Rudnevs;Ivica Olic;Batuhan Altintas,10.0
155,40,Germany,Bundesliga,2015,Hannover 96,42,39,24.6,21,€1.56m,€60.83m,Heinz-von-Heiden-Arena,49.000 Seats,€13.50m,€18.40m,€-4.90m,Thomas Schaaf;Michael Frontzeck;Daniel Stendel,Relegated from 1st league,Ron-Robert Zieler;Philipp Tschauner;Timo Königsmann;Samuel Sahin-Radlinger;Salif Sané;Marcelo;Andre Hoffmann;Christian Schulz;Alexander Milosevic;Felipe Trevizan;Waldemar Anton;Fynn Arkenberg;Miiko Albornoz;Oliver Sorg;Hiroki Sakai;Marius Wolf;Vladimir Rankovic;Manuel Schmiedebach;Hotaru Yamaguchi;Ceyhun Gülselam;Maurice Hirsch;Edgar Prib;Iver Fossum;Leon Andreasen;Tim Dierßen;Mike-Steven Bähre;Niklas Feierabend;Hiroshi Kiyotake;Allan Saint-Maximin;Felix Klaus;Uffe Bech;Noah Joel Sarenren Bazee;Mevlüt Erdinc;Artur Sobiech;Ádám Szalai;Charlison Benschop;Kenan Karaman;Hugo Almeida;Valmir Sulejmani,18.0
156,40,Germany,Bundesliga,2015,FC Ingolstadt 04,4795,29,25.2,16,€1.23m,€35.65m,Audi Sportpark,15.800 Seats,0,€6.20m,€-6.20m,Ralph Hasenhüttl,,Ramazan Özcan;Örjan Nyland;Christian Ortag;Benjamin Hübner;Robert Bauer;Marvin Matip;Romain Brégerie;Thomas Blomeyer;Danilo Soares;Markus Suttner;Konstantin Engel;Danny da Costa;Tobias Levels;Max Christiansen;Roger;Stefan Wannenwetsch;Pascal Groß;Alfredo Morales;Almog Cohen;Mathew Leckie;Aloy Ihenacho;Stefan Lex;Thomas Pledl;Maurice Multhaup;Darío Lezcano;Lukas Hinterseer;Elias Kachunga;Moritz Hartmann;Tomas Pekhart,11.0
157,40,Germany,Bundesliga,2015,SV Darmstadt 98,105,30,27.3,8,€838k,€25.15m,Merck-Stadion am Böllenfalltor,17.500 Seats,0,€1.10m,€-1.10m,Dirk Schuster,,Christian Mathenia;Lukasz Zaluska;Patrick Platins;Luca Caldirola;Aytac Sulu;Slobodan Rajković;Florian Jungwirth;Júnior Díaz;Benjamin Gorka;Jan Finger;Konstantin Rausch;Fabian Holland;Michael Stegmayer;György Garics;Peter Niemeyer;Sandro Sirigu;Yannick Stark;Jérôme Gondorf;Mario Vrancic;Tobias Kempe;Marcel Heller;Milan Ivana;Nick Volk;Noel Wembacher;Ali Kazimi;Jan Rosenthal;Marco Sailer;Sandro Wagner;Dominik Stroh-Engel;Felix Platte,14.0
