id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
554173,malachi-fagan-walcott,20.0,2,-,2,-,1,1.775',,
536030,arnau-puigmal,34.0,5,4,3,-,-,1.429',,
53360,jay-rodriguez,33.0,7,2,3,-,-,1.667',,
80197,salomon-rondon,23.0,3,1,2,-,1,1.062',,
75890,kristoffer-nordfeldt,32.0,-,,2,-,-,2.910',37.0,10.0
567576,elliot-anderson,29.0,13,5,4,-,-,2.382',,
682562,bjorn-hardley,30.0,2,-,4,-,1,2.581',,
633659,matthew-craig,20.0,-,1,3,1,-,1.343',,
68183,david-meyler,,,,,,,,,
661053,jarrad-branthwaite,12.0,1,-,1,-,1,822',,
538006,kwasi-sibo,32.0,-,-,6,1,-,1.290',,
258216,kasey-palmer,8.0,1,1,-,-,-,273',,
484551,taylor-richards,11.0,1,-,1,-,-,448',,
9500,david-marshall,13.0,-,,-,-,-,1.124',16.0,3.0
145466,tim-ream,47.0,1,2,5,-,-,4.161',,
245625,alex-palmer,10.0,-,,-,-,-,900',21.0,2.0
406636,jamie-soule,7.0,-,-,-,-,-,361',,
287167,joe-lolley,30.0,-,1,1,-,-,1.146',,
687626,moises-caicedo,26.0,3,3,6,-,-,1.888',,
433991,ethan-galbraith,36.0,1,3,9,-,-,2.692',,
563306,jordan-thomas,27.0,-,-,2,-,1,2.022',,
258311,sam-westley,,,,,,,,,
244125,hiram-boateng,37.0,4,4,5,-,-,1.587',,
210662,bradley-watkins,,,,,,,,,
296986,tyler-roberts,27.0,2,1,6,-,-,1.213',,
127032,serge-aurier,24.0,-,2,4,-,-,1.128',,
670883,dane-scarlett,16.0,1,1,2,-,-,984',,
412669,trincao,30.0,3,1,-,-,-,1.379',,
24589,wes-hoolahan,30.0,1,10,3,-,-,2.128',,
477758,aaron-wan-bissaka,26.0,-,-,2,-,1,2.213',,
44794,henri-lansbury,37.0,-,1,11,-,-,2.155',,
272622,issa-diop,26.0,1,2,2,-,-,1.995',,
349300,sead-haksabanovic,34.0,3,6,1,-,-,2.951',,
391132,matt-butcher,35.0,4,3,6,-,-,2.789',,
178314,victorien-angban,29.0,1,3,1,-,-,1.232',,
123951,aaron-mooy,,,,,,,,,
73522,matty-james,33.0,1,3,1,-,-,2.784',,
48950,jordan-rhodes,28.0,4,3,1,-,-,1.030',,
