,League,Season,Club,Rank
234,Bundesliga,2020,E. Frankfurt,5.0
235,Bundesliga,2020,B. Leverkusen,6.0
236,Bundesliga,2020,Union Berlin,7.0
237,Bundesliga,2020,Bor. M'gladbach,8.0
238,Bundesliga,2020,VfB Stuttgart,9.0
239,Bundesliga,2020,SC Freiburg,10.0
240,Bundesliga,2020,TSG Hoffenheim,11.0
241,Bundesliga,2020,1.FSV Mainz 05,12.0
242,Bundesliga,2020,FC Augsburg,13.0
243,Bundesliga,2020,Hertha BSC,14.0
244,Bundesliga,2020,Arm. Bielefeld,15.0
245,Bundesliga,2020,1.FC Köln,16.0
246,Bundesliga,2020,Werder Bremen,17.0
247,Bundesliga,2020,FC Schalke 04,18.0
248,Bundesliga,2021,Bayern Munich,1.0
249,Bundesliga,2021,Bor. Dortmund,2.0
250,Bundesliga,2021,B. Leverkusen,3.0
251,Bundesliga,2021,RB Leipzig,4.0
252,Bundesliga,2021,Union Berlin,5.0
253,Bundesliga,2021,SC Freiburg,6.0
254,Bundesliga,2021,1.FC Köln,7.0
255,Bundesliga,2021,1.FSV Mainz 05,8.0
256,Bundesliga,2021,TSG Hoffenheim,9.0
257,Bundesliga,2021,Bor. M'gladbach,10.0
258,Bundesliga,2021,E. Frankfurt,11.0
259,Bundesliga,2021,VfL Wolfsburg,12.0
260,Bundesliga,2021,VfL Bochum,13.0
261,Bundesliga,2021,FC Augsburg,14.0
262,Bundesliga,2021,VfB Stuttgart,15.0
263,Bundesliga,2021,Hertha BSC,16.0
264,Bundesliga,2021,Arm. Bielefeld,17.0
265,Bundesliga,2021,Greuther Fürth,18.0
266,Serie A,2015,Juventus,1.0
267,Serie A,2015,SSC Napoli,2.0
268,Serie A,2015,AS Roma,3.0
269,Serie A,2015,Inter,4.0
270,Serie A,2015,Fiorentina,5.0
271,Serie A,2015,Sassuolo,6.0
272,Serie A,2015,AC Milan,7.0
273,Serie A,2015,Lazio,8.0
274,Serie A,2015,Chievo Verona,9.0
275,Serie A,2015,Genoa,10.0
276,Serie A,2015,Empoli,11.0
277,Serie A,2015,Torino,12.0
278,Serie A,2015,Atalanta BC,13.0
279,Serie A,2015,Bologna,14.0
280,Serie A,2015,Sampdoria,15.0
281,Serie A,2015,US Palermo,16.0
282,Serie A,2015,Udinese Calcio,17.0
283,Serie A,2015,Carpi,18.0
284,Serie A,2015,Frosinone,19.0
285,Serie A,2015,Hellas Verona,20.0
286,Serie A,2016,Juventus,1.0
287,Serie A,2016,AS Roma,2.0
288,Serie A,2016,SSC Napoli,3.0
289,Serie A,2016,Atalanta BC,4.0
290,Serie A,2016,Lazio,5.0
291,Serie A,2016,AC Milan,6.0
292,Serie A,2016,Inter,7.0
293,Serie A,2016,Fiorentina,8.0
294,Serie A,2016,Torino,9.0
295,Serie A,2016,Sampdoria,10.0
296,Serie A,2016,Cagliari Calcio,11.0
297,Serie A,2016,Sassuolo,12.0
298,Serie A,2016,Udinese Calcio,13.0
299,Serie A,2016,Chievo Verona,14.0
300,Serie A,2016,Bologna,15.0
301,Serie A,2016,Genoa,16.0
302,Serie A,2016,Crotone,17.0
303,Serie A,2016,Empoli,18.0
304,Serie A,2016,US Palermo,19.0
305,Serie A,2016,Pescara,20.0
306,Serie A,2017,Juventus,1.0
307,Serie A,2017,SSC Napoli,2.0
308,Serie A,2017,AS Roma,3.0
309,Serie A,2017,Inter,4.0
310,Serie A,2017,Lazio,5.0
311,Serie A,2017,AC Milan,6.0
312,Serie A,2017,Atalanta BC,7.0
313,Serie A,2017,Fiorentina,8.0
314,Serie A,2017,Torino,9.0
315,Serie A,2017,Sampdoria,10.0
